"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.weight","p.GS.weight","MM.brown","p.MM.brown","MM.red","p.MM.red","MM.salmon","p.MM.salmon","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.tan","p.MM.tan","MM.yellow","p.MM.yellow","MM.midnightblue","p.MM.midnightblue","MM.cyan","p.MM.cyan","MM.lightcyan","p.MM.lightcyan","MM.grey","p.MM.grey","MM.lightgreen","p.MM.lightgreen","MM.pink","p.MM.pink","MM.greenyellow","p.MM.greenyellow","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.grey60","p.MM.grey60","MM.green","p.MM.green"
"MMT00010412","MMT00010412","Serpina1d",20703,"brown",-0.424839848303229,3.11581246988535e-07,-0.722460103904179,6.67451447510922e-23,-0.69755210544495,7.67645531544562e-21,-0.257438960321042,0.00267388360425624,-0.565673089910979,1.06611448807681e-12,0.20175525671974,0.0194028894297771,0.164593310320274,0.0573757070736684,0.128903955059184,0.137705012874034,0.177379840632543,0.0403281385730821,-0.0495229233368646,0.569867005669106,-0.115741460862124,0.182948124957238,-0.0765653721728171,0.379240587388718,-0.11292764174189,0.193894195492966,0.172383928424718,0.0464007388494942,-0.148582211636889,0.086643816059222,0.105708989582989,0.224131594418997,0.139041446390304,0.109103685380786,-0.00411439035886754,0.962368568938568,0.0363761651013601,0.676475283532327,-0.0253731035511577,0.771043626790352
"MMT00062990","MMT00062990","Hc",15139,"brown",-0.424477945746594,3.19641814528518e-07,-0.699944017054732,4.97154193742662e-21,-0.481466588452391,3.88184521357333e-09,-0.364153091153505,1.5229006917151e-05,-0.378734811835507,6.41093587659949e-06,0.222740644352367,0.00968616523491095,0.136953771160417,0.114577893057591,-0.165090109228403,0.0566172905190301,-0.30431249885261,0.000350443124150692,-0.196641002459328,0.0227719041800229,0.113663327850766,0.190987451274209,0.0876974680531052,0.3136447633915,0.0203626201331993,0.815349675952221,0.0501231937569224,0.565194073181709,0.173663371985819,0.0447773292193563,-0.0549428514496421,0.528349533202233,0.0301834748188786,0.729189039927745,0.110529360658805,0.203592669982787,0.0186082097911428,0.831010286158189,-0.139586416282801,0.107708891949286
"MMT00008970","MMT00008970",NA,NA,"brown",0.423020473518808,3.54163840264696e-07,0.572052646803589,5.19465179325674e-13,0.362179941606277,1.70660573702069e-05,0.310561775155542,0.000260143005293486,0.3427847339141,5.0267030544393e-05,-0.215528135703271,0.0123839288249496,-0.30429426561369,0.00035074454386182,0.102857568532084,0.23694900471142,-0.0104170988209478,0.904910817361777,-0.0223527291655995,0.79767331205388,0.150434199241999,0.0827452785230916,-0.220266420283009,0.0105466985310933,0.0217487235666942,0.80302776794488,-0.0560565469684153,0.520011125048315,0.198865162862939,0.0212495362937817,-0.0607930625995891,0.485312686935807,0.0144539015813599,0.868348078689672,0.0581178171691259,0.504757041860353,0.034957052570315,0.688428479071785,-0.188366253055189,0.0292857020514705
"MMT00059782","MMT00059782","Ctsk",13038,"brown",0.421409261616665,3.96460742997418e-07,0.621554715755287,1.11182282914807e-15,0.527502245638219,5.80433808366608e-11,0.167537594314453,0.0530004105999521,0.466863300884742,1.29944041494398e-08,-0.436393608122604,1.35697535553807e-07,-0.578310487311829,2.52735257633327e-13,0.371260110314497,1.00415648134285e-05,0.118131599762584,0.174011672636841,0.11664742860115,0.179522051609539,0.272120307432462,0.00146891889602387,-0.356808621988861,2.31812868419842e-05,0.0721072149569928,0.407693238992963,-0.124948710581102,0.150298207476613,0.337875032358234,6.53495323651546e-05,0.0121049174558383,0.889594875165011,0.271382180682721,0.00151503718194738,-0.103726977680603,0.232987810263796,0.00187590891110944,0.98283739758526,-0.247489971825334,0.00393838767988574
"MMT00070677","MMT00070677","Il1r1",16177,"brown",-0.420903088670409,4.10714575251781e-07,-0.719993952373291,1.09236104689585e-22,-0.571364956668011,5.61744559565122e-13,-0.520954953952278,1.09708389821567e-10,-0.379313535561685,6.18915612397991e-06,0.293296473668956,0.000583214100863847,0.186898216410299,0.030593117243886,-0.135660277030327,0.118075369583624,-0.274756186895882,0.00131447437293914,-0.091771520055428,0.291605171071084,0.0124070036702562,0.886857750196399,0.174340906108228,0.0439370053069479,0.00481228644662035,0.955991343657288,0.0620101043886987,0.47660146976507,0.0719635194147287,0.408630763732588,-0.0401738601329888,0.644888046109848,0.0522548897739466,0.54874822565738,0.102444087979991,0.23884931961035,-0.0251379643079732,0.773107666400568,0.0135761977844688,0.876276840282264
"MMT00032545","MMT00032545","Tm4sf6",56496,"brown",0.420886251985153,4.11196995120921e-07,0.762428030627869,1.00499105809643e-26,0.718178234963002,1.56468680638273e-22,0.308930306064274,0.000281366190074307,0.578496558610365,2.47320642318266e-13,-0.482217092319435,3.64251630820187e-09,-0.488962946139578,2.04162952952855e-09,0.208116887506716,0.0158200722893262,0.0484395397625289,0.57834664165231,0.00719944783168091,0.934201471187799,0.23848431991528,0.00552104347437791,-0.319871818248914,0.000164841555908956,0.13493980824057,0.120059030181961,-0.0965866340637956,0.266915341998623,0.323121338240527,0.00014007986942707,0.0732490363249175,0.400288716454527,0.104987496102514,0.227327484602519,-0.00582046129669573,0.946783877962404,0.0253993957454228,0.77081293460975,-0.255629557653184,0.00287217323201433
"MMT00026611","MMT00026611","Col1a2",12843,"brown",0.419697253859337,4.4666611548547e-07,0.770391298447593,1.41165575986707e-27,0.579957787573365,2.08541097439896e-13,0.177736576859114,0.0399212797424045,0.581202613213626,1.8021931266399e-13,-0.146378703344853,0.0914718178328464,-0.213006946173697,0.0134713081657105,0.168022114376129,0.0523075178213681,0.156469604436857,0.0710066514909669,0.293374743112767,0.000581148313031221,0.0493567063005918,0.571164170524744,-0.025744503777423,0.76778676302398,0.0749141767485814,0.389634957776816,-0.168468686609266,0.0516755405565927,-0.0572449050653816,0.511188287688037,-0.0602083909649724,0.489527694289464,-0.0246075950787224,0.777769027083304,-0.0333119705073639,0.702381745008608,-0.14068062159481,0.104950566542278,0.183027929369178,0.0342796090106351
"MMT00064617","MMT00064617","Vim",22352,"brown",0.41913713318087,4.64368622078829e-07,0.792525336755146,3.87546028055499e-30,0.579058518934398,2.31642630037441e-13,0.168664947466527,0.0513998022106815,0.758169570919505,2.78247455635919e-26,-0.368631184135997,1.17274741653591e-05,-0.134935536894162,0.120070866892864,0.0997816278043172,0.25134034812218,0.234052531332475,0.00649107052202848,-0.00294671725839723,0.973043638351298,-0.0280062924151848,0.748042147228614,-0.184062709507718,0.0332589867975786,0.0124274766513538,0.886672297707716,-0.187429368777105,0.0301144700077548,-0.0622898171934478,0.474611404804713,-0.010809369529457,0.901347864307178,-0.191601372988872,0.0265714472482707,0.00123267950663497,0.988721784581512,-0.151479845263506,0.0806069953903914,-0.0524204281066701,0.547480950809368
"MMT00043964","MMT00043964","Lxn",17035,"brown",0.418810940819975,4.74984001209926e-07,0.837373632766905,1.95964715831284e-36,0.576349240786567,3.17279437424793e-13,0.295613091397691,0.000524845953715764,0.703451723291079,2.60863297787809e-21,-0.371794020148004,9.72838042254317e-06,-0.102743090382192,0.237474074028813,-0.00701318138910389,0.935900158516922,0.163948989876031,0.0583717509453588,-0.129013249740985,0.137368813866986,-0.08479351107384,0.329999089773998,-0.171302090014298,0.0478113652017529,0.0316643961684411,0.716456242935269,-0.156980654723108,0.0700780573473075,-0.0319135368808802,0.714321684601296,-0.0180408839226067,0.836089023371334,-0.275670461379488,0.00126446526917829,0.141039583718656,0.104057853592723,-0.13062472735528,0.132484125479317,-0.111689487763915,0.198858480391897
"MMT00071772","MMT00071772","AI428936",233066,"brown",-0.41784636245566,5.07744992694873e-07,-0.586275833190772,9.87772479543341e-14,-0.346329927217637,4.14767754344778e-05,-0.213203587357073,0.0133835954186232,-0.306415816251926,0.000317236432209477,0.00162241263288555,0.985156337921885,0.113989993862415,0.189706987138726,-0.0723547182640044,0.406081407385278,-0.0667348538234259,0.443599547481271,-0.254023093355748,0.00305924141806574,0.0177788173022214,0.838437356749978,-0.0331759540187347,0.703539938260804,-0.129113356360672,0.137061427453097,0.000755902084794759,0.993083845696252,0.109950541405276,0.205984783887619,0.0312598216789088,0.719927172555678,0.01840706663443,0.832810145715301,0.090050834664906,0.300784851694921,0.0721283233224899,0.407555626775958,-0.201997226773848,0.0192547686244691
